epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,36.4885,0.14788,0.98671,1,0.03707,0.00332807,0.00332807,0.00332807
1,78.2575,0.4195,0.97034,1,0.09415,0.00331811,0.00331811,0.00331811
2,154.248,0.07064,0.99314,1,0.02335,0.0066295,0.0066295,0.0066295
3,229.881,0.02835,0.99678,1,0.00745,0.00991888,0.00991888,0.00991888
4,305.269,0.01964,0.99846,1,0.00526,0.009901,0.009901,0.009901
5,380.811,0.01352,0.99874,1,0.00512,0.009868,0.009868,0.009868
6,456.478,0.01245,0.99832,1,0.00642,0.009835,0.009835,0.009835
7,531.746,0.00972,0.9993,1,0.00297,0.009802,0.009802,0.009802
8,607.184,0.01014,0.99888,1,0.00312,0.009769,0.009769,0.009769
9,682.386,0.00689,0.99958,1,0.00191,0.009736,0.009736,0.009736
10,757.863,0.00809,0.9986,1,0.00412,0.009703,0.009703,0.009703
11,833.026,0.00768,0.99846,1,0.00442,0.00967,0.00967,0.00967
12,908.255,0.00767,0.99888,1,0.00294,0.009637,0.009637,0.009637
13,983.448,0.00702,0.9979,1,0.00534,0.009604,0.009604,0.009604
14,1058.57,0.0091,0.99818,1,0.00499,0.009571,0.009571,0.009571
15,1133.77,0.00801,0.99902,1,0.00208,0.009538,0.009538,0.009538
16,1208.97,0.00812,0.99622,1,0.01176,0.009505,0.009505,0.009505
17,1284.23,0.01047,0.99818,1,0.0056,0.009472,0.009472,0.009472
18,1359.47,0.01251,0.9986,1,0.0035,0.009439,0.009439,0.009439
19,1434.67,0.01087,0.99874,1,0.00518,0.009406,0.009406,0.009406
20,1509.67,0.01463,0.99482,1,0.01421,0.009373,0.009373,0.009373
21,1584.82,0.01296,0.99818,1,0.00519,0.00934,0.00934,0.00934
22,1659.91,0.0123,0.99902,1,0.0033,0.009307,0.009307,0.009307
23,1735.13,0.0137,0.99804,1,0.00708,0.009274,0.009274,0.009274
24,1810.33,0.01558,0.9986,1,0.00429,0.009241,0.009241,0.009241
25,1885.4,0.0152,0.9986,1,0.00395,0.009208,0.009208,0.009208
26,1961.98,0.02328,0.99944,1,0.00325,0.009175,0.009175,0.009175
27,2040.69,0.01656,0.99902,1,0.00282,0.009142,0.009142,0.009142
28,2115.7,0.01849,0.99888,1,0.00395,0.009109,0.009109,0.009109
29,2190.86,0.02094,0.99804,1,0.00647,0.009076,0.009076,0.009076
